id,basics,education,skills,work
278,,"study: BSc&#44; Information Technology, institution: Truong Dai Hoc Bach Khoa TP. HCM ; study: BSc&#44; Chemical, institution: Truong Dai Hoc Bach Khoa TP. HCM",Negotiation ; Management ; Networking ; Channel Partners ; Sales Process ; Team Leadership ; Sales ; Resellers ; Sales Management ; Business Planning ; Product Management ; Security ; Account Management,"work: Samsung Electronics Vietnam&#44; Vietnam, position: Products Manager, desc: Products in charge: Large Format Display/Hospitality Display/Cloud Display 
Set-up a Nation-wide Reseller Channel to distribute the suitable product-lines 
Build the Product Brand Name in Vietnam Market ; work: CMC Distribution Co. Ltd, position: Product Manager, desc: Product Manager: 3Com (USA), Emerson (USA)
Manage a Sales team to develop ICT market
Build a Distribution Channel in Vietnam ; work: Honeywell Sensing and Productivity Solutions&#44; Vietnam, position: Country Business Manager, desc:  ; work: Avnet Technology Solutions, position: Sales Manager, desc: Sales Manager: Motorola EMS, Juniper Network, F5 Network
Manage a Sales team to develop ICT market
Build a Distribution Channel in Vietnam ; work: The East Asiatic Company Ltd (Vietnam Rep. Office), position: Sales Engineer, desc: Medical Equipment in Vietnam"
279,,"study: Bachelor&#39;s multidisciplinary degree&#44; Law, Economics, History and Political Science, institution: Sciences Po ; study: Baccalaureat Economique&#44; Spécialité Mathématiques, institution: Lycée Français de Budapest ; study: Full year exchange student&#44; International Business and Finance, institution: Copenhagen Business School ; study: Master of Science (MSc)&#44; Finance and Strategy - Corporate Finance Track, institution: Sciences Po",Management ; Mergers &amp; Acquisitions ; Interpersonal Skill ; Strategy ; Political Science ; Valuation ; Finance ; Microsoft Word ; Microsoft Office ; Financial Modeling ; Event Marketing Strategy ; Public Speaking ; Microsoft Excel ; Economics ; Social Skills ; English ; Project Management ; Financial Analysis ; Corporate Finance ; Events Organisation ; Communication ; PowerPoint,"work: Granaco&#44; Budapest, Hungary, position: Commodity Research Analyst Intern, desc:  ; work: Tereos&#44; Paris Area, France, position: Corporate Development - M&amp;A Analyst Intern, desc:  ; work: Valeo&#44; Paris Area, France, position: Group Junior Treasurer &amp; Treasury Analyst Intern, desc:  ; work: Event0 GmbH&#44; Copenhagen Area, Denmark, position: Business Developper, desc: 
"
280,"Commercially focused media professional within the fields of digital advertising &amp; data driven marketing.

Strong background in the identification of commercial opportunities and in the building, management and maintenance of key partner relationships.

Proven effectiveness in the delivery of successful sales strategies and inter-departmental campaign initiatives across complex online / offline business structures.

Extensive experience in selling premium video, context / content based advertising initiatives and driving publisher programmatic monetisation strategy within the APAC region.","study: Bachelor of Commerce (BCom)&#44; Marketing &amp; Management, institution: University of Wollongong ; study: Master of Arts (M.A.)&#44; International Studies - China, institution: Shanghai University ; study: Master of Arts (M.A.)&#44; International Studies - China, institution: University of Technology, Sydney ; study: Graduate Certificate in Media Sales, institution: UNSW Australia",Digital Marketing ; Web Analytics ; Digital Strategy ; Marketing ; Creative Direction ; Lead Generation ; RTB ; Mobile Devices ; Digital Media ; Marketing Strategy ; Online Marketing ; Advertising ; Mobile Marketing ; SEM ; Mobile Advertising ; Content Management ; Online Advertising,"work: The Federal Publishing Company, position: Account Manager &amp;  Direct Sales, desc: The Federal Publishing Company was a publisher of magazines and community newspapers in Australia. The company published magazines in the areas of food, lifestyle, fashion, motoring, motorcycling, and trade. It also offered search engine optimization, web designing, and content management services. Now incorporated into News Limited.

• Development of new business clients within local market
• Managing retention of existing client base and maximizing spend across publications
• Delivery of monthly financial targets, ensuring budgets met &amp; growth opportunities exploited ; work: CBS Interactive, position: Programmatic Trading Manager, APAC, desc: CBSi Global Revenue Operations is responsible for managing monetisation of display, mobile and video inventory outside of North America with a focus on programmatic advertising sales, data based audience solutions &amp; third party partnerships.

• Responsibilities include the direction of open &amp; private exchange commercial strategy for display, video and mobile inventory across APAC markets.
• Development of all Trading Desk / DSP/ client relationships to optimise revenue across all brands within in the CBSi network.
• Organisation &amp; integration of all programmatic platforms / partners for the APAC region e.g. various SSPs / Exchanges
• Lead co-ordination of DMP partners for the APAC region with a focus to creating commercial insights , actionable via programmatic platforms.
• Delivery of education &amp; training on the use of programmatic platforms, data based opportunities &amp; over all programmatic publisher strategy to all internal stakeholders within APAC region. ; work: Oracle Marketing Cloud&#44; Singapore, position: Principal Solutions Consultant, desc: The Oracle Marketing Cloud is the leading provider of modern marketing solutions. 

The OMC’s unified marketing platform delivers a completely singular view of a brand’s customers across all digital channels (email, web, social, mobile, display, commerce &amp; sales.)

Built on best in class technology - including the Oracle BlueKai DMP, Oracle Eloqua B2B / Oracle Responsys B2C Cross-Channel Marketing Platforms, Oracle Maxymiser CX Optimizer, Compendium Content Marketing &amp; Social Relationship Management – the Oracle Marketing Cloud empowers modern marketers to deliver a superior customer experience.
 ; work: CBS Interactive&#44; Australia, position: Digital Media Account Manager, desc: CBS Interactive is the largest premium digital content network with highly identifiable brands across entertainment, tech, news, business, and sports. With hundreds of millions of unique visitors from around the world each month, CBS Interactive is a global top 10 web property.

• Selling contextual display media across a diverse network of consumer focused portals.
• Management of internal relationships between editorial, design &amp; production ensuring campaigns are delivered to both client &amp; agency’s expectations.
• Delivery of quarterly financial targets, ensuring budgets met &amp; exceeded by consistent identification of opportunities for revenue generation. ; work: CBS Interactive, position: Senior Digital Media Account Manager, desc: CBS Interactive is the largest premium digital content network with highly identifiable brands across entertainment, tech, news, business, and sports. With hundreds of millions of unique visitors from around the world each month, CBS Interactive is a global top 10 web property.

• Management of media agency relationships &amp; objectives to deliver creative and successful online campaigns . OMD, Emitch, Media Contacts, Mindshare, Maxus, PHD &amp; Razor Media.
• Selling contextual display media across a diverse network of consumer focused portals.
• Delivery of quarterly financial targets, ensuring budgets met &amp; exceeded by consistent identification of opportunities for revenue generation. ; work: Reed Business Information, position: Online Account Manager, desc: Reed Business Information is a provider of business information, data and marketing solutions. Portfolio includes both vertical market and horizontal market on line directories servicing micro-to-medium sized businesses (MMEs), with over 30 million business listings in Australia. 

• Established face to face relationships with MME sized business client base throughout Australia.
• Educate client base in the necessity of an online business presence and maximize their company’s visibility online via improved SEO.
• Maximize revenue by identifying  up sell opportunities on an ongoing basis and expanding online core and display / banner advertising opportunities"
281,,"study: , institution: kenyatta University",,
282,"A highly resourceful and experienced security and safety professional  with over (8) years in the security industry. Proven track record of leading teams , effectively handling man power functions, staffing, supervising and training. Demonstrated ability to handle accurate incident report writing ,events security, CCTV surveillance, security survey, security audit, risk assessment, guarding supervision, investigations, VIP close protection,, deployments, aviation security, fire training, tactical response unit deployment, first aid  and pay roll administration. 
Safety expert with proficient knowledge in risk analysis and mitigation plans, job hazard analysis, environmental audit, health and safety audits, accident/incident investigations, environmental impact assessment, and root cause analysis.","study: Criminlogy, institution: Kenya Institute of Studies in Criminal Justice ; study: Nebosh certificate in safety management&#44; Occupational Safety and Health , institution: Varel Engineering",Emergency Management ; Security Audits ; Management ; Access Control ; Project Planning ; Training ; Executive Protection ; Physical Security Surveys ; Safety Management Systems ; Aviation Security ; Personal Security ; Risk Assessment ; Protection ; Counterterrorism ; Leadership ; First Aid ; Crisis Management ; Supervisory Skills ; Microsoft Office ; Security Management ; Physical Security ; Private Investigations ; Customer Service ; CCTV ; Corporate Security ; Security ; Surveillance ; Close Protection ; Security Operations ; Security Training ; Investigation,"work: KK Security (Kenya) Ltd, position: Staffing Officer, desc:  ; work: RMS&#44; NAIROBI, position: AREA MANAGER, desc: "
283,"A top performing and highly resourceful professional with a track record of providing efficient customer operations support within the banking sector including areas such as; sales, relationship management, client management, business development, project implementations and Digital channels support.  I have an excellent track record of supporting customers and ensuring that business delivery channels for both corporate and retail banking customers are seamless. In addition, I have successfully managed high profile client relationships, championed the delivery of consistent, seamless and trusted business development to ensure customer retention and loyalty.","study: Bachelor of Business information technology&#44; Data Modeling/Warehousing and Database Administration, institution: Strathmore University",Client Services ; cash managment ; Internet Banking ; Client Relations ; Online Payment Solutions ; Payment Industry ; E-payments ; Mobile Banking ; Research ; Project Management ; Team Leadership ; Solution Implementation ; Payment Solutions ; electronic payments ; Technical Support ; Payment Card Industry Data Security Standard (PCI DSS) ; Teamwork ; Microsoft Office ; support ; VMware ; Project Delivery,"work: United Bank For Africa PLC&#44; Kenya, position: Digital banking(E-banking) Team Member, desc: •	Provides support and creates a partnership with customers on issues pertaining to electronic payments/Transaction Banking channel support for both retail and corporate payment channels. 
•	Drives sustainable growth through the delivery of innovative and customized financial solutions to meet identified customer needs.
•	Builds and maintains productive and strategic relations with customers, stakeholders to drive the development and delivery of digital business solutions and revenue growth.
•	Reviews performance of all e-products and e-solutions at the end of every month and comes up with strategies to meet gaps/shortfalls in budget achievement
•	Ensures strong cross- selling of existing and new products to existing and new clients; and in this process, maintain effective liaison with all relevant business units in the bank.
•	Disseminates the bank’s E-Banking strategy at all levels of staff within the organization. ; work: Standard Chartered Bank&#44; Nairobi, Kenya, position: Implementation officer(Transaction Banking), desc: •	Electronic banking consultant for SCB Solution delivery service for Kenya.
•	Providing marketing support to relationship manger, sale manager and product mangers.
•	Providing support to customers support to resolve customer technical operating problems and participate throughout the entire process of implementation including technical discussions, pre installation checks, installation, training and PIR (post implementation review)
•	To monitor and ensure maximum utilization of straight2bank by customers and increase of revenue through the use of straight2bank the bank web platform.
•	Ensuring Maintainace of a healthy business environment through strict compliance with AML (Anti-money laundering).
•	Supported the banks clients on the banks online platform (Straigh2bank).
•	Trained bank customers on different payment methods that can be performed on the bank web platform.
•	Monitored utilization of the banks online platform straight2bank.
•	Supported the team offering online solutions to bank customers on various cash needs and queries; for example, i actively led the team in the implementation of cash solutions end to end at customer’s premises. 
•	Accompanied sales representatives to client visits to sell bank products and give the technical view of the bank products. 

 ; work: AccessKenya Group Limited&#44; Nairobi, Kenya, position: Systems Engineer, desc: •	Help desk Support
•	Software support
•	Trouble shooting 
•	IT consultation
•	Preventive maintenance on machines
•	Compliance checks on the banks Desktop
•	User support
•	Machine configuration and check on the banks Active Directory
•	Monitoring and maintaining computer systems and networks.
•	Assisting clients through a series of actions, either face to face, over the telephone and virtually to help set up systems or resolve issues
•	Supporting the roll out of new applications and setting up new users&#39; accounts and profiles and dealing with password issues.

"
284,"About Scandin-Africa Group ApS 🇩🇰🇳🇴🇸🇪 | The trade bridge between Scandinavia and Africa 

Founded to became the first and unique Scandinavian and African largest professional networking platform for SME&#39;s. Our main activities is to help Scandinavian Companies to increase sub-Saharan African market. 

Our platform will leverage the African opportunity to the next level with actionable outcomes by pairing technology, innovation with counterparts opportunities situated within Public &amp; Private partnership with high Scandinavian standard. 

Scandin-Africa.com en tant que 1er réseau de mise en relation d&#39;entrepreneurs Scandinave et Africain, répond à ce besoin de renouveau, en mettant l&#39;Afrique en contact avec les pays Nordiques à la pointe de l&#39;innovation notamment dans les TIC, les Energies Renouvelables et la transformation des produits agricoles.

▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
■ Facilitating business relations between Scandinavian based companies and their counterparts in Africa.
■ Bringing new actors within local community into emerging countries  in order to facilitate the growth of sustainable businesses with the highest professional Scandinavian standards.
■ Identifying opportunities for business expansion and develop C-level business network accordingly
■ Operating leverage at the service of competitiveness for growth and employment, Scandin-Africa® made readable, available and effective chain of actors and services dedicated to the development and success of businesses.
■ Promoting Scandinavian brands and offer many business opportunities by providing public and private projects, legal advice, country investment code and local services.
■ Distribution of exclusive Scandinavian products all over Africa.
■ Mobile Payment and Financial Service (only 15% of African population are holder of Bank Account - Remittance)
■ Consultancy services (B2B - B2C - B2G - B4G - C2C)
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬","study: Master&#39;s Degree&#44; International Business/Trade/Commerce, institution: Ecole normale supérieure ; study: , institution: Université Paris Nanterre ; study: Bachelor’s Degree&#44; TV, Radio and Press, institution: Academie Audiovisuelle",Digital Marketing ; Management ; Marketing Communications ; Mobile Payments ; Business-to-Business (B2B) ; Trade Facilitation ; Communication marketing ; B2B ; CRM ; Social Media ; Media Relations ; Facilitation ; Sales Management ; Marketing ; Stratégie marketing ; HR Solutions ; Entrepreneurship ; Leadership ; Online Advertising ; Scandinavian Business ; Promotions ; Logistics ; Business Development Consultancy ; Gestion de projet ; Public Relations ; Corporate Communications ; E-commerce ; Social Media Marketing ; Marketing Strategy ; Logistic ; Business Development ; Start-ups ; Brand Development ; Project Management ; Negotiation ; Relations publiques ; Fashion ; Customer Relationship Management (CRM) ; Business Strategy ; African Business ; Online Marketing ; New Business Development ; B2B2C,"work: Afrimarket&#44; Copenhagen Area, Denmark, position: Consultant | Scandinavian countries, desc: 
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
■ Independent Strategic Marketing Consultant with more than 15 years of International experience in Public Relation, Marketing Strategy Development and High Net-Worth Individuals Relationships Management,
■ Help Afrimarket to increase their service in Scandinavians countries,

■ Afrimarket is an innovative Fintech startup,
■ Afrimarket allows African migrants in Europe to remit funds to their home countries. Away from traditional cash-to-cash money transfer, Afrimarket is the first cash-to-goods money transfer service,
■ Afrimarket has been accredited by French banking authorities as electronic money distributor, and is currently active in West Africa.
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬ ; work: Scandin-Africa Group ApS&#44; Denmark, position: Founder, desc: ▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
&quot; Dansk Industri predicts in the report that Africa could become the world leaders in economic growth over the next five years as a result of a growth in private consumption, especially by Africa’s middle class – which will account for around one third of a predicted population of two billion in 2050. This would account for a market of more than 10 trillion kroner.

Copenhagen Cleantech Cluster, a network for cleantech businesses, told Politiken that Danish companies should work together to provide more comprehensive solutions to the African consumers. The network currently co-operates with Danish companies exporting to African countries like Senegal.&quot;

Ref. Copenhagen Post Online
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬

 ╔═════════════════╗
mad.taylor@scandin-africa.com
Skype ID : esther-mad.taylor
    www.scandin-africa.com
 ╚═════════════════╝ ; work: M-A-D-&gt; Nagement&#44; Copenhagen - Cannes - Paris - New York - Milan, position: C.E.O, desc: 
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
■ Communicating key message to clients and endorse products to target audiences,
■ Liaising with media, individuals or other organizations to answer inquiries via telephone and emails,
■ Writing press releases for targeted media,
■ Organizing events such as exhibitions, press conferences, concerts and artist show case,
■ Clients : Cannes Film Festival, Paris Hilton Handbags, Nordisk Film, Zentropa, Normann Copenhagen, Bang og Olufsen, Fritz Hansen, Elite Model Look, Roberto Cavalli Vodka, NRJ and more.
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬ ; work: Chamber of Commerce&#44; Copenhagen Area, Denmark, position: Public Relations, desc: 
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
■ Management and coordinate the chamber’s activities, conferences, events and projects,
■ Identify business opportunities for partnership,
■ Create and maintain partnership with external partners, associate organizations and sponsors in Africa and in Scandinavia.
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬ ; work: Lumigon A/S&#44; Africa - France - Israel, position: Agent - Consultant, desc: 
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
About Lumigon
Lumigon designs, develops and produces high-end smartphones and accessories. Based in Copenhagen, the company’s products are designed to reflect their Danish origin, taking inspiration from Scandinavian design traditions characterised by simplicity, minimalism and solidness. Lumigon is a private company with extensive experience within consumer electronics, mobile software and distribution.
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
 ; work: Amazing Jewelry&#44; Africa, position: Master Franchise taker for African Market, desc: 
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
Amazing Jewelry, the H&amp;M of Jewelry is founded by Jesper Nielsen and the Nielsen Family, who over the past 14 years has been a vital player in the global jewelry business (PANDORA CEO&#39;s). Since 2003, the Nielsen Family has been a part of the creation of major jewelry brands, opened up more than 40 markets on 5 continents, generated billions of dollars in revenue, and left significant footprints in the industry.
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
 ; work: Carre Washington&#44; Paris Area, France, position: Artistic Director, desc: ▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
■ Launching the first private platform of 300 sqm located at Champs-Elysées, Paris,
■ Managing Artists booking,
■ Organising several concert and international catwalk.
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬ ; work: Edenred&#44; Paris Area, France, position: Prepaid solutions | Employee benefits | Business Developer Middle Market, desc: B2B RESPONSABILITIES 
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
■ Manage more than 400 companies / 60 million € in the Middle Market
■ Use Customer Relationship Management (CRM) to develop selling opportunities within existing and new customer account,
■ Identifying opportunities for business expansion,
■ Make a high volume of outbound sales calls and emails to potential prospects,
■ Migrate customers to the dematerialised voucher,
■ Provide status information to my Manager Audrey Boulanger and my teammate.
▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬▬
"
285,"Vincere is the CRM/ATS for ambitious recruitment firms. If you&#39;re interested in growing your recruitment business, then speak to us. If increasing revenues isn&#39;t a &#39;thing&#39; for you in 2017, then stick with your current CRM. 

 We&#39;re a bit different to our competitors (the word &#39;disruptive&#39; has been used). Our sole focus is on building a product that helps recruitment companies grow revenues: this means a big focus on pipeline, search and analytics. 90% of our revenues are reinvested straight back into R&amp;D, which means we can innovate faster than any other vendor in the market. We spend precisely $0.00 on marketing- no snazzy sales offices, no expense accounts. We put our customers&#39; success before everything else. 

As Head of Sales and Marketing of Vincere and founding member of HRBoss, I’ve helped both companies grow from zero to multi-million dollar companies. I love my job and the journey that we (my team and all our customers) are on right now with Vincere. I speak to owners of recruitment firms all over the world and I find it fascinating. 

Superpowers: acquisition marketing (content, growth engineering, performance, SEO, email, inbound), product marketing, value propositions, branding, PR. Decent (copy)writer, time permitting. 
","study: MA Hons 1.1&#44; English Literature with French, institution: University of Glasgow",Start-ups ; Management ; Performance Management ; Management Consulting ; Human Resources ; Recruiting ; Integration ; Screening Resumes ; HRIS ; Benefits Negotiation ; Team Management ; CRM ; Employer Branding ; HR Consulting ; Internet Recruiting ; Onboarding ; Marketing ; Payroll ; Technical Recruiting ; Recruitment Advertising ; Talent Management ; Permanent Placement ; Interviews ; RPO ; Negotiation ; Training ; Temporary Placement ; Graduate Recruitment ; Public Relations ; Employee Engagement ; Sourcing ; New Business Development ; Talent Acquisition ; Account Management ; Business Development ; Strategy ; Search ; Succession Planning ; Change Management ; Consulting ; Cloud Computing ; Contract Recruitment ; Applicant Tracking Systems ; Time Management ; Sales Management ; Executive Search ; Business Intelligence ; Sales ; Candidate Generation ; Personnel Management,"work: HRBoss&#44; Singapore, position: Director, desc: HRBoss is Asia&#39;s leading provider of data-driven software for both corporate HR and recruitment agencies. All of our Cloud solutions are intuitive, highly-configurable and supported locally on-the-ground, where you are. 

Recent Awards &amp; Accolades: 
-&#39;Best Big Data Solution&#39;​ Asia Pacific: 2015 Stevie Awards
-&#39;Best Software-as-a-Service&#39;​ (non-US) : 2014, The Cloud Awards 
-&#39;Best HR Big Data Solution&#39;​ : 2013, China Pioneer Awards 
-&#39;Best SaaS Solution&#39; : 2013, SiTF Awards, Singapore 

HiringBoss is our flagship eRecruiting and Applicant Tracking solution 
HiringBoss helps organizations attract, engage and hire candidates throughout the recruiting process. A multilingual solution available in 12 languages. www.hrboss.com

EmployeeBoss is the workforce planning and analytics platform for CXOs.
EmployeeBoss aggregates all employee data from multiple existing HR &amp; business systems in 1 place. Have relevant data analytics available at your fingertips to drive business decisions in real-time. www.hrboss.com

 ; work: One Chalets&#44; Hakuba, Nagano- the Japan Alps., position: Director, desc: Asia&#39;s most exclusive Alpine residences. Specialists in luxury ski chalets rentals - based in Nagano, the Northern Japan Alps.
A tightly edited portfolio of ultra-luxe ski accommodation for a discerning, international clientele. ; work: Vincere&#44; Singapore, position: Director of Growth, desc:  ; work: Vincere.io&#44; Singapore, position: Director of Sales and Marketing, desc: Vincere is the CRM/ATS for ambitious recruitment and staffing firms.
 We are user(You)-centric, dataminded, process driven, mobile enabled and inexpensive.
 Don&#39;t take our word for it, try it for yourself. Start your 14-day free trial. No contracts, no fuss.

 Sign-up for a free here: https://vincere.io ; work: Michael Page, position: Consultant, desc: Financial sector recruitment. Based in Tokyo office."
286,"I am a laboratory scientist with banking experience as a customer service associate.

I support the bank to accurately and timely resolve customer queries, requests and complaints as per the service mandates. This includes; acknowledging the cases logged, investigating and updating the customer.

I analyze &amp; investigate complaints regarding to the banks products, transaction errors as well as refund/reversal processing for our customers.

I also play a key liaison role between bank clients, branch network staff &amp; other  bank departments. ","study: Kenya Certificate of Secondary Education&#44; K.C.S.E, institution: St. Martins Girls School, Westlands ; study: Bachelor&#39;s degree&#44; LABORATORY MEDICINE, institution: Kenyatta University",Management ; Unwritten Ground Rules ; Private Events ; Employee Training ; Science ; Strategic Planning ; Patient Communications ; Personal Counselling ; Laboratory Quality Assurance ; Leadership training at Kenyatta University. ; Patient Registration ; Complaint Investigations ; Microsoft Word ; Lead Generation ; Leadership ; Customer Service ; Pharmaceutical Sales ; Dispute Resolution ; Certified with Ministry of Informatics of The Ztech Republic ; Public Speaking ; Merchant Services ; Microsoft Excel ; Customer Retention ; Environmental training and art Association ; Research ; Customer Experience ; Microsoft Office ; Public Safety ; Laboratory Safety ; Customer Support ; Laboratory Skills ; Laboratory Medicine ; PowerPoint,"work: Kitui Baby Home&#44; Kenya, position: Community Volunteer, desc: Donated gifts and visited the baby home to provide emotional support for the babies who most were orphaned and others thrown away ; work: Barclays&#44; Bishop’s Gate- 5th Avenue,, position: Merchant Processor and Card investigation analyst, desc: In this role, I was TASKED with ensuring that all manual requests from merchants are processed timely. I did this to ensure that all our customers reduce any risks associated with their day to day transactions while using our card products.  

I also ensured that there is seamless communication between my desk, branches, merchants &amp; cardholders.

KEY SKILLS ACQUIRED:

➤Excellent Customer Service skills

➤Reporting Skills

➤Analytical Skills

➤Card Technology Skills



 ; work: Kings Outreach Church&#44; Donholm, position: Community Volunteer, desc: Visited the street families to provide food and other amenities ; work: Kenya Red Cross&#44; Nairobi, position: Volunteer, desc: Trained by Red Cross to offer First Aid services to persons   ; work: SAI PHARMACEUTICALS&#44; GARISSA, NAIROBI, NYERI, position: Medical Sales Representative, desc: My CORE DUTIES involved: scheduling appointments with doctors, clinicians as well as chemists. In our meetings, I concentrated on providing explanations on drug varieties, drug usage, purchasing process, discounts available, return/replacement methodologies whilst also taking orders.

I EXECUTED: daily, weekly, monthly &amp; quarterly plans to ensure that all set targets are achieved. This I achieved through territory mapping, maximizing on referral chain, securing enough stock from head office as well as providing excellent customer service to ensure customer retention target is achieved.

My eye was keen on competitor activities, cost of medicines and the since I was acting as a principal company representative in Garissa, Nairobi and Nyeri Counties respectively.

I MASTERED the following KEY SKILLS IN THIS ROLE:

              ➤ Customer Relationship Management Skills

               ➤ Lead Generation Skills

               ➤ Negotiation Skills

               ➤Supply chain management ; work: Barclays&#44; BISHOPS GATE; NAIROBI, position:  Customer Service Advisor, Card Complaints Unit, desc: I support the bank to accurately and timely resolve customer queries, requests and complaints as per the service mandates. This includes; acknowledging the cases logged, investigating and updating the customer in favour of the customer or without prejudice.

I analyze &amp; investigate complaints regarding to the banks products, transaction errors as well as refund/reversal processing for our customers.

I also play a key liaison role between bank clients, branch network staff &amp; other bank departments. 

🔴🔴🔴I AM ABSOLUTELY PASSIONATE ABOUT THIS CAUSE

"
287,,"study: , institution: Medewerker ICT beheer ; study: Network and System engineer, institution: Hogeschool van Utrecht ; study: ICT Beheerder&#44; Information Technology, institution: ICT Beheerder",Rational Integration Tester ; Test Management ; Scrum ; System Testing ; LoadRunner ; Performance Testing ; User Acceptance Testing ; Application Lifecycle Management ; Analysis ; Agile Testing ; HP Quality Center ; SiteScope ; Testing ; Unit Testing ; z/OS ; Test Planning ; Functional Testing ; Agile &amp; Waterfall Methodologies,"work: Nederlandse Spoorwegen&#44; Utrecht, position: Performance Engineer, desc:  ; work: Computest, position: Test Specialist, desc:  ; work: Random Solutions, position: System Engineer, desc:  ; work: Pronation-IT, position: Stagair ICT Beheerder, desc:  ; work: Rabobank ICT&#44; Utrecht, position: Performance Engineer, desc: De eenheid IT Nederland (ITN) ondersteunt de Rabobank Groep met ICT-diensten. Hierbij staan continuïteit en effectiviteit centraal. Bij ITN werken ongeveer 3.000 mensen, verspreid over de locaties Best, Boxtel, Eindhoven, Tilburg, Utrecht en Zeist. 
De afdeling PCC staat binnen ITN opgesteld voor een goede performance &amp; stabiliteit van systemen. Met specialistische kennis, ervaring en tools geeft het PCC adviezen, voert testen uit, doet reviews enz.

Binnen de afdeling PCC ben ik werkzaam als Performance Engineer en test diverse applicaties en toepassingen"
288,"Experienced Recruiter with a demonstrated history of working in the information technology and services industry. Skilled in Business Writing, Recruitment, Negotiation, Translation, Executive Search.","study: BA&#44; English, institution: Hoa Sen University",Business English ; IT Outsourcing ; Chinese ; Public Speaking ; Human Resources ; Recruiting ; French ; Business Writing ; English ; Translation ; Human Relations ; People Skills ; Executive Search ; Hotels,"work: SeaWorld Parks &amp; Entertainment&#44; Virginia, USA, position: Culinary Department, desc: As a food handler, I work in Italy line where customers were served with best service and delicious food.
Busch Garden Williamsburg,VA ; work: Rex Hotel, position: Hostess, desc: My mainly task is welcome guests to our Hotel, serve them as valued customers. ; work: Le &amp; Associates (L&amp;A)&#44; 19M Nguyen Huu Canh St, Binh Thanh Dist, position: Consultant, desc:  ; work: NashTech&#44; Etown 1, 364 Cong Hoa St, Tan Binh Dist, position: Recruiter, desc: "
